onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	-1	0	$0.00	6
26.0009	10	2	-$1	0.25	0.22303	1	$0.00	6
40.0009	6	3	+$0	0.25	0.23269	1	$0.00	2
50.0008	8	4	+$5	0.25	-1	0	$0.00	4
62.0008	10	5	+$0	0.25	-1	0	$0.00	6
76.0008	8	6	+$0	0.25	-1	0	$0.00	4
88.0007	10	7	-$5	0.25	-1	0	$-5.00	6
102.0008	6	8	-$1	0.25	0.23475	1	$-5.00	2
112.0007	10	9	+$1	0.25	0.21066	1	$-4.00	6
126.0008	8	10	-$0	0.25	-1	0	$-4.00	4
138.0007	10	11	+$1	0.25	0.24574	1	$-3.00	6
152.0007	6	12	+$5	0.25	0.2178	1	$2.00	2
162.0007	8	13	-$5	0.25	0.23102	1	$2.00	4
174.0008	8	14	+$0	0.27	-1	0	$2.00	4
186.0008	10	15	-$1	0.25	-1	0	$1.00	6
200.0008	6	16	-$0	0.25	0.21113	1	$1.00	2
210.0008	8	17	-$1	0.23	-1	0	$0.00	4
222.0007	10	18	+$5	0.25	0.24887	1	$5.00	6
236.0007	6	19	-$5	0.25	-1	0	$0.00	2
246.0007	8	20	+$5	0.23	-1	0	$0.00	4
258.0008	6	21	+$1	0.25	0.23241	1	$1.00	2
268.0007	8	22	-$5	0.27	0.21515	1	$1.00	4
280.0007	10	23	-$1	0.25	0.059405	1	$1.00	6
294.0008	6	24	-$0	0.27	-1	0	$1.00	2
304.0007	6	25	+$1	0.23	-1	0	$1.00	2
314.0008	10	26	+$5	0.25	0.24225	1	$6.00	6
328.0008	8	27	-$0	0.29	0.24639	1	$6.00	4
340.0007	10	28	+$0	0.29	0.24956	1	$6.00	6
354.0008	6	29	-$5	0.29	0.22805	1	$6.00	2
364.0008	10	30	+$1	0.21	-1	0	$6.00	6
378.0008	8	31	-$5	0.31	0.26334	1	$6.00	4
390.0008	10	32	-$0	0.31	0.2687	1	$6.00	6
404.0008	8	33	+$0	0.31	0.26882	1	$6.00	4
416.0008	6	34	-$1	0.27	0.24458	1	$6.00	2
426.001	6	35	+$1	0.23	-1	0	$6.00	2
436.0007	8	36	-$0	0.33	0.20603	1	$6.00	4
448.0007	10	37	+$5	0.27	0.21854	1	$11.00	6
462.0007	6	38	+$0	0.33	0.22868	1	$11.00	2
472.0007	8	39	-$0	0.35	0.2049	1	$11.00	4
484.0007	10	40	+$0	0.35	0.2164	1	$11.00	6
498.0008	10	41	-$5	0.29	0.22427	1	$11.00	6
512.0007	8	42	-$1	0.25	-1	0	$10.00	4
524.0008	6	43	+$5	0.25	0.22755	1	$15.00	2
534.0008	8	44	-$1	0.27	-1	0	$14.00	4
546.0007	6	45	+$0	0.37	0.21459	1	$14.00	2
556.0007	10	46	-$5	0.27	0.21274	1	$14.00	6
570.0007	6	47	-$1	0.29	-1	0	$13.00	2
580.0007	6	48	-$5	0.25	-1	0	$8.00	2
590.0007	10	49	+$5	0.23	-1	0	$8.00	6
604.0007	6	50	-$5	0.23	-1	0	$3.00	2
614.0008	6	51	-$1	0.31	-1	0	$2.00	2
624.0008	10	52	-$0	0.37	0.22721	1	$2.00	6
638.0007	8	53	-$5	0.25	0.21267	1	$2.00	4
650.0007	6	54	+$0	0.35	0.24956	1	$2.00	2
660.0008	8	55	+$1	0.25	-1	0	$2.00	4
672.0007	10	56	-$1	0.33	0.25256	1	$2.00	6
686.0007	6	57	+$1	0.27	0.15241	1	$3.00	2
696.0007	8	58	+$1	0.29	0.26874	1	$4.00	4
708.0007	8	59	+$5	0.25	0.23145	1	$9.00	4
720.0007	10	60	+$1	0.31	0.27028	1	$10.00	6
734.0008	10	61	-$5	0.27	0.2485	1	$10.00	6
748.0007	6	62	+$5	0.23	-1	0	$10.00	2
758.0007	8	63	+$1	0.33	0.21434	1	$11.00	4
770.0007	8	64	+$1	0.35	0.24518	1	$12.00	4
782.0007	8	65	-$1	0.35	0.26019	1	$12.00	4
794.0007	6	66	-$0	0.35	0.28829	1	$12.00	2
804.0008	8	67	+$5	0.25	0.23408	1	$17.00	4
816.0007	10	68	+$0	0.33	0.23976	1	$17.00	6
830.0007	8	69	+$0	0.31	0.23125	1	$17.00	4
842.0008	10	70	-$0	0.33	-1	0	$17.00	6
856.0007	6	71	-$0	0.35	0.25665	1	$17.00	2
866.0007	6	72	+$5	0.27	0.26066	1	$22.00	2
