onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0007	10	1	-$0	0.25	-1	0	$0.00	6
26.0026	10	2	-$1	0.25	0.23221	1	$0.00	6
40.0021	6	3	+$0	0.25	0.23346	1	$0.00	2
50.0014	8	4	+$5	0.25	0.23739	1	$5.00	4
62.0009	10	5	+$0	0.25	-1	0	$5.00	6
76.0009	8	6	+$0	0.25	-1	0	$5.00	4
88.0009	10	7	-$5	0.25	0.24029	1	$5.00	6
102.0008	6	8	-$1	0.25	0.23517	1	$5.00	2
112.0009	10	9	+$1	0.25	0.22522	1	$6.00	6
126.0008	8	10	-$0	0.25	0.22819	1	$6.00	4
138.0008	10	11	+$1	0.25	0.23339	1	$7.00	6
152.0009	6	12	+$5	0.25	0.22164	1	$12.00	2
162.0009	8	13	-$5	0.25	0.2212	1	$12.00	4
174.0008	8	14	+$0	0.27	0.26043	1	$12.00	4
186.0008	10	15	-$1	0.25	0.23126	1	$12.00	6
200.0008	6	16	-$0	0.25	-1	0	$12.00	2
210.0008	8	17	-$1	0.23	-1	0	$11.00	4
222.0009	10	18	+$5	0.25	0.24091	1	$16.00	6
236.0008	6	19	-$5	0.25	0.23983	1	$16.00	2
246.0008	8	20	+$5	0.23	-1	0	$16.00	4
258.0009	6	21	+$1	0.25	-1	0	$16.00	2
268.0008	8	22	-$5	0.23	-1	0	$11.00	4
280.0008	10	23	-$1	0.21	-1	0	$10.00	6
294.0008	6	24	-$0	0.27	0.23751	1	$10.00	2
304.0008	6	25	+$1	0.23	0.22284	1	$11.00	2
314.0008	10	26	+$5	0.21	-1	0	$11.00	6
328.0008	8	27	-$0	0.29	0.28648	1	$11.00	4
340.0009	10	28	+$0	0.29	-1	0	$11.00	6
354.0008	6	29	-$5	0.21	-1	0	$6.00	2
364.0008	10	30	+$1	0.21	-1	0	$6.00	6
378.0012	8	31	-$5	0.23	-1	0	$1.00	4
390.0008	10	32	-$0	0.31	-1	0	$1.00	6
404.0008	8	33	+$0	0.31	0.29138	1	$1.00	4
416.0009	6	34	-$1	0.23	0.22747	1	$1.00	2
426.0008	6	35	+$1	0.23	-1	0	$1.00	2
436.0008	8	36	-$0	0.33	0.23262	1	$1.00	4
448.0008	10	37	+$5	0.23	-1	0	$1.00	6
462.0008	6	38	+$0	0.33	0.25733	1	$1.00	2
472.0008	8	39	-$0	0.35	0.2477	1	$1.00	4
484.0008	10	40	+$0	0.35	0.2555	1	$1.00	6
498.0008	10	41	-$5	0.25	0.24324	1	$1.00	6
512.0008	8	42	-$1	0.21	-1	0	$0.00	4
524.0007	6	43	+$5	0.25	0.24948	1	$5.00	2
534.0008	8	44	-$1	0.23	-1	0	$4.00	4
546.0008	6	45	+$0	0.37	0.27314	1	$4.00	2
556.0008	10	46	-$5	0.27	0.23718	1	$4.00	6
570.0008	6	47	-$1	0.25	0.23973	1	$4.00	2
580.0008	6	48	-$5	0.29	0.25964	1	$4.00	2
590.0008	10	49	+$5	0.27	0.24923	1	$9.00	6
604.0008	6	50	-$5	0.27	0.23176	1	$9.00	2
614.0008	6	51	-$1	0.27	0.24682	1	$9.00	2
624.0008	10	52	-$0	0.37	0.26128	1	$9.00	6
638.0008	8	53	-$5	0.25	0.23469	1	$9.00	4
650.0008	6	54	+$0	0.35	0.2881	1	$9.00	2
660.0008	8	55	+$1	0.25	-1	0	$9.00	4
672.0008	10	56	-$1	0.29	0.24863	1	$9.00	6
686.0008	6	57	+$1	0.27	0.2457	1	$10.00	2
696.0008	8	58	+$1	0.29	0.25847	1	$11.00	4
708.0008	8	59	+$5	0.29	0.24215	1	$16.00	4
720.0008	10	60	+$1	0.31	0.2501	1	$17.00	6
734.0008	10	61	-$5	0.23	-1	0	$12.00	6
748.0008	6	62	+$5	0.27	0.26724	1	$17.00	2
758.0008	8	63	+$1	0.33	-1	0	$17.00	4
770.0008	8	64	+$1	0.35	0.23831	1	$18.00	4
782.0008	8	65	-$1	0.31	0.2566	1	$18.00	4
794.0008	6	66	-$0	0.35	0.23507	1	$18.00	2
804.0008	8	67	+$5	0.25	0.22841	1	$23.00	4
816.0008	10	68	+$0	0.33	0.30483	1	$23.00	6
830.0008	8	69	+$0	0.31	0.2976	1	$23.00	4
842.0008	10	70	-$0	0.33	0.28311	1	$23.00	6
856.0008	6	71	-$0	0.31	0.29539	1	$23.00	2
866.0008	6	72	+$5	0.23	-1	0	$23.00	2
